Date,Open,High,Low,Close,Adj Close,Volume,price_change_per_day,price_change_ratio_per_day
2015-03-18,285.066986,285.335999,249.869995,256.299011,256.299011,57008000,-28.76797499999998,-0.10091654387505952
2015-03-19,255.880005,264.243988,248.636002,260.928009,260.928009,52732000,5.048003999999963,0.019728012745661636
2015-03-20,260.955994,264.847992,259.161987,261.748993,261.748993,18456700,0.7929990000000089,0.0030388227066361576
2015-03-21,261.644012,262.196014,255.649994,260.024994,260.024994,17130100,-1.6190179999999827,-0.006187865671468082
2015-03-22,259.916992,269.747009,259.589996,267.959991,267.959991,18438100,8.042999000000009,0.030944490924240956
2015-03-23,267.894989,277.296997,261.744995,266.73999,266.73999,22811900,-1.154999000000032,-0.004311387101010807
2015-03-24,266.576996,267.002991,244.154999,245.595001,245.595001,40073700,-20.981995000000012,-0.07870894831450502
2015-03-25,247.472,249.190002,236.514999,246.197006,246.197006,35866900,-1.2749940000000208,-0.005152073769961938
2015-03-26,246.276001,254.354004,244.904999,248.531998,248.531998,25730000,2.2559969999999794,0.009160441905989773
2015-03-27,248.565994,256.811005,245.212997,247.029007,247.029007,17274900,-1.5369869999999821,-0.00618341622386199
2015-03-28,246.975006,254.205002,246.975006,252.798004,252.798004,16040900,5.822997999999984,0.02357727647954783
2015-03-29,252.740005,253.139008,240.850006,242.712997,242.712997,21699400,-10.027007999999995,-0.03967321279431009
2015-03-30,242.878998,249.242004,239.214005,247.526001,247.526001,23009600,4.647003000000012,0.019132996423181933
2015-03-31,247.453995,248.729996,242.738998,244.223999,244.223999,22672000,-3.229996,-0.013052915148935057
2015-04-01,244.223007,247.541,241.160004,247.272003,247.272003,22877200,3.0489960000000167,0.01248447489633938
2015-04-02,247.089005,254.460999,245.416,253.005005,253.005005,26272600,5.916000000000025,0.023942789360457482
2015-04-03,253.074005,256.042999,251.878998,254.322006,254.322006,23146600,1.248000999999988,0.004931367802868524
2015-04-04,254.291,255.257996,251.100006,253.697006,253.697006,12493500,-0.5939940000000092,-0.002335882905804803
2015-04-05,253.761002,260.674988,251.942001,260.597992,260.597992,19649200,6.836989999999986,0.02694263478672734
2015-04-06,260.721008,261.798004,254.574997,255.492004,255.492004,20034200,-5.229003999999975,-0.0200559365741635
2015-04-07,255.274002,255.804993,252.205002,253.179993,253.179993,18467400,-2.094009,-0.008202985747056215
2015-04-08,253.063995,253.847,244.214996,245.022003,245.022003,30086400,-8.041991999999993,-0.031778491444426904
2015-04-09,244.751007,246.117996,239.399994,243.675995,243.675995,21643500,-1.0750119999999868,-0.004392267934570692
2015-04-10,243.694,243.694,232.770996,236.072006,236.072006,28882000,-7.621994000000001,-0.031276904642707666
2015-04-11,236.016006,239.537003,234.175003,236.552002,236.552002,16365200,0.535995999999983,0.00227101546663739
2015-04-12,236.535004,237.727997,233.494995,236.153,236.153,12387900,-0.3820039999999949,-0.0016149998669964085
2015-04-13,235.949997,236.934998,221.996002,224.587006,224.587006,31181800,-11.362990999999994,-0.0481584706271473
2015-04-14,224.759003,224.975998,216.322998,219.158997,219.158997,31719000,-5.600006000000008,-0.02491560260213473
2015-04-15,219.072998,223.832993,218.649002,223.832993,223.832993,22562000,4.759994999999975,0.02172789455321178
2015-04-16,223.917007,229.671997,223.917007,228.572998,228.572998,24805400,4.655991,0.020793378146573744
2015-04-17,228.574997,228.906006,221.942001,222.882004,222.882004,20429800,-5.692993000000001,-0.024906455538529444
2015-04-18,222.852997,224.315994,220.876007,223.356003,223.356003,12939000,0.5030059999999992,0.0022571201947981846
2015-04-19,223.455994,226.352997,222.373001,222.600006,222.600006,15021500,-0.8559879999999964,-0.0038306781781830223
2015-04-20,222.612,226.350998,221.977005,224.626007,224.626007,18364700,2.0140069999999923,0.009047162776490002
2015-04-21,224.619995,235.268997,224.300995,235.268997,235.268997,24978000,10.649002000000024,0.047408967309433094
2015-04-22,235.602005,237.908997,233.475998,234.175995,234.175995,23847900,-1.426009999999991,-0.00605262251482109
2015-04-23,234.052994,236.475006,233.199005,236.462006,236.462006,17036000,2.40901199999999,0.01029259211270756
2015-04-24,235.970001,236.304993,229.932999,231.268005,231.268005,21448700,-4.701996000000008,-0.019926244777191016
2015-04-25,231.235001,232.561005,226.337006,226.389999,226.389999,13957200,-4.845002000000022,-0.020952719004680532
2015-04-26,226.410004,226.944,214.873993,219.429993,219.429993,28943700,-6.98001099999999,-0.030829075026207724
2015-04-27,219.429001,233.304993,218.022995,229.285995,229.285995,38574000,9.856994000000014,0.044921108673324425
2015-04-28,228.968994,229.494995,223.069,225.854996,225.854996,21469200,-3.1139980000000094,-0.013600085957489988
2015-04-29,225.591003,227.039993,223.429993,225.807999,225.807999,18936500,0.21699599999999464,0.000961900063009138
2015-04-30,225.692993,239.563004,224.992996,236.145004,236.145004,33818600,10.452010999999999,0.04631074656358516
2015-05-01,235.938995,238.966003,232.078995,232.078995,232.078995,18815300,-3.8600000000000136,-0.01636016123574661
2015-05-02,232.341003,235.727005,232.341003,234.929993,234.929993,12535500,2.5889899999999955,0.011143061132433846
2015-05-03,234.880005,243.240005,234.082993,240.358002,240.358002,18494100,5.477996999999988,0.02332253441496643
2015-05-04,240.356003,242.638,237.809998,239.018005,239.018005,21223400,-1.337997999999999,-0.005566734274575197
2015-05-05,238.852005,239.203995,232.054001,236.121002,236.121002,23929100,-2.731002999999987,-0.011433870944478725
2015-05-06,236.248993,236.453995,229.231003,229.781998,229.781998,29587200,-6.466995000000026,-0.02737364048785607
2015-05-07,229.662003,239.104996,228.572998,237.334,237.334,29064400,7.671997000000005,0.033405599967705604
2015-05-08,237.203995,246.274994,236.274002,243.863007,243.863007,27445500,6.659012000000018,0.02807293359456285
2015-05-09,243.768997,247.804001,239.639008,241.832001,241.832001,19790500,-1.936996000000022,-0.007946030971280658
2015-05-10,241.729004,244.067993,238.848999,240.296005,240.296005,15019100,-1.4329989999999952,-0.005928121889750538
2015-05-11,240.298996,244.270004,239.376007,242.158005,242.158005,20892300,1.8590090000000146,0.0077362329054425786
2015-05-12,242.145004,242.880997,240.098999,241.112,241.112,19282600,-1.0330040000000054,-0.004266055392164958
2015-05-13,241.397995,243.703995,235.044998,236.376999,236.376999,27180100,-5.020995999999997,-0.020799659085817993
2015-05-14,236.214005,237.798996,234.057007,236.929001,236.929001,24413700,0.7149960000000135,0.003026899272970769
2015-05-15,236.955002,238.753006,236.794998,237.604996,237.604996,16329400,0.6499939999999924,0.0027431115381138585
2015-05-16,237.643997,237.697006,235.294998,236.153,236.153,11089700,-1.4909970000000214,-0.00627407811189113
2015-05-17,236.009995,238.024994,236.009995,236.802002,236.802002,11134300,0.7920069999999839,0.003355819739752903
2015-05-18,236.886993,237.210007,232.460007,233.128006,233.128006,16780300,-3.7589869999999905,-0.015868270994515897
2015-05-19,233.037003,234.151001,231.817001,231.947006,231.947006,14241900,-1.089997000000011,-0.004677355896136421
2015-05-20,231.889999,234.682999,231.841995,234.018005,234.018005,15499400,2.128005999999999,0.0091767907593117
2015-05-21,234.016006,236.242004,233.835007,235.343994,235.343994,15108900,1.3279880000000048,0.005674774228904688
2015-05-22,235.320999,240.968994,235.059998,240.348007,240.348007,27003000,5.027007999999995,0.02136234344305157
2015-05-23,240.285995,241.024994,238.690994,238.871994,238.871994,14605000,-1.4140010000000132,-0.005884658404664879
2015-05-24,238.975998,241.977997,238.811005,240.953003,240.953003,11508000,1.9770049999999912,0.008272818260183565
2015-05-25,240.927002,241.020996,236.636993,237.110001,237.110001,14423900,-3.8170009999999763,-0.015842977201866216
2015-05-26,237.104004,238.242004,235.692001,237.115997,237.115997,16425000,0.011992999999989706,5.058117871341264e-05
2015-05-27,237.065002,238.636002,236.695007,237.283005,237.283005,18837000,0.21800300000001016,0.0009195916654117092
2015-05-28,237.257004,237.824005,236.651993,237.408005,237.408005,13829600,0.15100100000000793,0.0006364448570715659
2015-05-29,237.376999,237.522003,235.731003,237.095993,237.095993,14805000,-0.2810060000000192,-0.0011837962447238588
2015-05-30,237.091995,237.093002,232.046005,233.345001,233.345001,14098600,-3.746994000000001,-0.015803966726080317
